Brand,Motor kW,Pole,Efficiency,Price
ABB,0.37,2,IE2,19200
ABB,0.55,2,IE2,21100
ABB,0.75,2,IE2,23100
ABB,1.1,2,IE2,26000
ABB,1.5,2,IE2,31900
ABB,2.2,2,IE2,37800
ABB,3,2,IE2,44700
ABB,3.7,2,IE2,49700
ABB,4,2,IE2,62900
ABB,5.5,2,IE2,68000
ABB,5.5,2,IE2,79200
ABB,7.5,2,IE2,82800
ABB,9.3,2,IE2,116500
ABB,9.3,2,IE2,150200
ABB,11,2,IE2,157600
ABB,15,2,IE2,178100
ABB,18.5,2,IE2,212600
ABB,22,2,IE2,242400
ABB,30,2,IE2,336700
ABB,37,2,IE2,381500
ABB,45,2,IE2,496400
ABB,55,2,IE2,675400
ABB,75,2,IE2,1011800
ABB,90,2,IE2,1132000
ABB,110,2,IE2,1396000
ABB,125,2,IE2,1623800
ABB,132,2,IE2,1642100
ABB,160,2,IE2,1816200
ABB,180,2,IE2,1966500
ABB,200,2,IE2,2087000
ABB,225,2,IE2,2365000
ABB,250,2,IE2,2541800
ABB,315,2,IE2,2808400
ABB,355,2,IE2,3158500
ABB,0.37,4,IE2,20700
ABB,0.55,4,IE2,25300
ABB,0.75,4,IE2,26700
ABB,1.1,4,IE2,32500
ABB,1.5,4,IE2,37300
ABB,2.2,4,IE2,44200
ABB,3,4,IE2,50000
ABB,3.7,4,IE2,56800
ABB,4,4,IE2,56800
ABB,5.5,4,IE2,73000
ABB,5.5,4,IE2,76900
ABB,7.5,4,IE2,89700
ABB,9.3,4,IE2,98800
ABB,9.3,4,IE2,144500
ABB,11,4,IE2,148800
ABB,15,4,IE2,173800
ABB,18.5,4,IE2,231800
ABB,22,4,IE2,248300
ABB,30,4,IE2,342900
ABB,37,4,IE2,400900
ABB,45,4,IE2,481900
ABB,55,4,IE2,620100
ABB,75,4,IE2,922500
ABB,90,4,IE2,1052400
ABB,110,4,IE2,1257600
ABB,125,4,IE2,1477900
ABB,132,4,IE2,1490000
ABB,160,4,IE2,1686900
ABB,180,4,IE2,1832400
ABB,200,4,IE2,1991700
ABB,225,4,IE2,2359800
ABB,250,4,IE2,2454900
ABB,315,4,IE2,2841500
ABB,355,4,IE2,3515700
ABB,0.18,6,IE2,23100
ABB,0.37,6,IE2,25500
ABB,0.55,6,IE2,26700
ABB,0.75,6,IE2,33800
ABB,1.1,6,IE2,37300
ABB,1.5,6,IE2,44600
ABB,1.5,6,IE2,46100
ABB,2.2,6,IE2,54800
ABB,3,6,IE2,74500
ABB,3.7,6,IE2,84300
ABB,4,6,IE2,87800
ABB,5.5,6,IE2,99300
ABB,7.5,6,IE2,153700
ABB,9.3,6,IE2,185400
ABB,11,6,IE2,195100
ABB,15,6,IE2,248300
ABB,18.5,6,IE2,307100
ABB,22,6,IE2,331400
ABB,30,6,IE2,468700
ABB,37,6,IE2,615200
ABB,45,6,IE2,866100
ABB,55,6,IE2,1012900
ABB,75,6,IE2,1173700
ABB,90,6,IE2,1416500
ABB,110,6,IE2,1579800
ABB,125,6,IE2,1848500
ABB,132,6,IE2,1857700
ABB,160,6,IE2,2092000
ABB,200,6,IE2,2466700
ABB,250,6,IE2,2589700
ABB,315,6,IE2,3894900
ABB,0.37,2,IE3,22900
ABB,0.55,2,IE3,25900
ABB,0.75,2,IE3,27100
ABB,1.1,2,IE3,32800
ABB,1.5,2,IE3,36100
ABB,2.2,2,IE3,43300
ABB,3,2,IE3,58600
ABB,3.7,2,IE3,66200
ABB,4,2,IE3,68000
ABB,5.5,2,IE3,76200
ABB,5.5,2,IE3,98100
ABB,7.5,2,IE3,106400
ABB,9.3,2,IE3,134800
ABB,9.3,2,IE3,166200
ABB,11,2,IE3,177400
ABB,15,2,IE3,202200
ABB,18.5,2,IE3,248300
ABB,22,2,IE3,264300
ABB,30,2,IE3,391300
ABB,37,2,IE3,457000
ABB,45,2,IE3,598300
ABB,55,2,IE3,745000
ABB,75,2,IE3,1123400
ABB,90,2,IE3,1253200
ABB,110,2,IE3,1494300
ABB,125,2,IE3,1814000
ABB,132,2,IE3,1831700
ABB,160,2,IE3,1970300
ABB,180,2,IE3,2246600
ABB,200,2,IE3,2283400
ABB,225,2,IE3,2648800
ABB,250,2,IE3,2849800
ABB,315,2,IE3,3044900
ABB,355,2,IE3,3440400
ABB,0.37,4,IE3,24700
ABB,0.55,4,IE3,29500
ABB,0.75,4,IE3,31900
ABB,1.1,4,IE3,35500
ABB,1.5,4,IE3,41000
ABB,2.2,4,IE3,50000
ABB,3,4,IE3,54100
ABB,3.7,4,IE3,67400
ABB,4,4,IE3,67400
ABB,5.5,4,IE3,95700
ABB,7.5,4,IE3,103500
ABB,9.3,4,IE3,175800
ABB,11,4,IE3,176800
ABB,15,4,IE3,215900
ABB,18.5,4,IE3,266100
ABB,22,4,IE3,280300
ABB,30,4,IE3,387100
ABB,37,4,IE3,487600
ABB,45,4,IE3,566400
ABB,55,4,IE3,732400
ABB,75,4,IE3,995100
ABB,90,4,IE3,1154100
ABB,110,4,IE3,1346900
ABB,125,4,IE3,1552600
ABB,132,4,IE3,1571500
ABB,160,4,IE3,1829800
ABB,180,4,IE3,2084700
ABB,200,4,IE3,2190900
ABB,225,4,IE3,2616300
ABB,250,4,IE3,2713300
ABB,315,4,IE3,3112300
ABB,355,4,IE3,3586300
ABB,0.18,6,IE3,25500
ABB,0.37,6,IE3,26600
ABB,0.55,6,IE3,29500
ABB,0.75,6,IE3,31900
ABB,1.1,6,IE3,37300
ABB,1.5,6,IE3,45800
ABB,1.5,6,IE3,54400
ABB,2.2,6,IE3,62000
ABB,3,6,IE3,84200
ABB,3.7,6,IE3,94100
ABB,4,6,IE3,94100
ABB,5.5,6,IE3,119400
ABB,7.5,6,IE3,164400
ABB,9.3,6,IE3,197500
ABB,11,6,IE3,211100
ABB,15,6,IE3,275000
ABB,18.5,6,IE3,356600
ABB,22,6,IE3,383500
ABB,30,6,IE3,552000
ABB,37,6,IE3,699800
ABB,45,6,IE3,963600
ABB,55,6,IE3,1096000
ABB,75,6,IE3,1287700
ABB,90,6,IE3,1576100
ABB,110,6,IE3,1738100
ABB,125,6,IE3,2035700
ABB,132,6,IE3,2055200
ABB,160,6,IE3,2298800
ABB,200,6,IE3,2687700
ABB,250,6,IE3,2884800
ABB,315,6,IE3,4141100
Siemens,0.25,2,IE2,23100
Siemens,0.37,2,IE2,23100
Siemens,0.55,2,IE2,24780
Siemens,0.75,2,IE2,28275
Siemens,1.1,2,IE2,30745
Siemens,1.5,2,IE2,37195
Siemens,2.2,2,IE2,43995
Siemens,3.7,2,IE2,56760
Siemens,4,2,IE2,78910
Siemens,5.5,2,IE2,87720
Siemens,7.5,2,IE2,96000
Siemens,9.3,2,IE2,140045
Siemens,11,2,IE2,195415
Siemens,15,2,IE2,215820
Siemens,18.5,2,IE2,260905
Siemens,22,2,IE2,292830
Siemens,30,2,IE2,413175
Siemens,37,2,IE2,459480
Siemens,45,2,IE2,590940
Siemens,55,2,IE2,854130
Siemens,75,2,IE2,1131805
Siemens,90,2,IE2,1288325
